scheme_name,eligible_criteria,benefits,application_link,linked_SDG,linked_jobs
National Digital Literacy Mission,"Rural citizens, 14-60 years",Digital literacy training,https://www.digitalliteracy.gov.in,SDG4,"Computer Teacher,Data Entry Operator,Digital Marketing,Content Writer"
Indian Institute of Skill Training,"Youth, 18-35 years",Industry-specific skill training,https://www.iist.gov.in,SDG4,"Automobile Mechanic,AC Technician,Welder,Carpenter,Electrician"
Vocational Training for Women,"Women, 18-45 years",Skill training + employment support,https://www.womenvocational.in,SDG5,"Tailoring,Beautician,Healthcare Assistant,Computer Teacher,Data Entry Operator"
Agriculture Skill Development Programme,"Farmers, agricultural workers",Modern farming techniques + training,https://www.agriculturetraining.gov.in,SDG2,"Agricultural Technician,Farm Manager,Horticulturist,Dairy Manager,Poultry Manager"
Fisheries Skill Development,"Fisheries sector workers, 18-45 years",Aquaculture + fishing techniques training,https://www.fisheries.skill.in,SDG14,"Fishery Manager,Fish Farmer,Aquaculture Technician"
Green Skill Development Programme,"Youth, 18-35 years",Renewable energy + environmental skills,https://www.greenskill.gov.in,SDG7,"Solar Panel Installer,Environmental Scientist,Renewable Energy Technician"
Healthcare Skill Development Scheme,"Youth, 18-30 years",Healthcare training + certification,https://www.healthcareskill.in,SDG3,"Healthcare Assistant,Nurse,Pharmacist,Lab Technician,Health Educator"
Tourism and Hospitality Skill Development,"Youth, 18-30 years",Tourism and hospitality training,https://www.tourismskill.gov.in,SDG8,"Hotel Manager,Chef,Travel Agent,Tourism Guide,Event Manager"
Construction Skill Development Scheme,"Workers, 18-40 years",Construction skill training + safety,https://www.constructionskill.in,SDG9,"Civil Engineer,Carpenter,Mason,Electrician,Plumber,Painter"
Automotive Skill Development Programme,"Youth, 18-30 years",Automotive repair and maintenance training,https://www.automotiveskill.in,SDG9,"Automobile Mechanic,Driver,AC Technician,CNC Operator"
IT/ITeS Skill Development Programme,"Youth, 18-30 years",IT and ITeS training + certification,https://www.iteskill.in,SDG9,"Software Developer,Web Designer,Data Entry Operator,Digital Marketing,Technical Support"
Capital Goods Skill Development,"Youth, 18-30 years",Manufacturing and capital goods training,https://www.capitalgoodsskill.in,SDG9,"CNC Operator,Welder,Production Manager,Quality Control Inspector"
Textile Skill Development Programme,"Youth, 18-30 years",Textile and garment manufacturing,https://www.textileskill.in,SDG9,"Tailoring,Fashion Designer,Quality Control,Production Manager"
Footwear Skill Development,"Youth, 18-30 years",Footwear manufacturing and design,https://www.footwearsdkill.in,SDG9,"Footwear Designer,Production Manager,Quality Control"
Leather Skill Development Programme,"Youth, 18-30 years",Leather goods manufacturing,https://www.leatherskill.in,SDG9,"Leather Goods Designer,Production Manager,Quality Control"
Gems and Jewellery Skill Development,"Youth, 18-30 years",Gems and jewellery making training,https://www.gemsjewelleryskill.in,SDG9,"Jewellery Designer,Quality Control,Production Manager"
Media and Entertainment Skill Development,"Youth, 18-30 years",Media and entertainment training,https://www.mediaentertainmentskill.in,SDG9,"Video Editor,Animator,Content Writer,Graphic Designer,Photographer"
Electronics and Hardware Skill Development,"Youth, 18-30 years",Electronics and hardware training,https://www.electronicsskill.in,SDG9,"Mobile Repair,AC Technician,Electronics Technician,Hardware Engineer"
Chemicals and Pharmaceuticals Skill Development,"Youth, 18-30 years",Chemical and pharmaceutical training,https://www.chemicalsskill.in,SDG9,"Pharmacist,Lab Technician,Quality Control,Production Manager"
Power Sector Skill Development,"Youth, 18-30 years",Power sector training,https://www.powerskill.in,SDG7,"Solar Panel Installer,Electrician,Power Plant Technician"
Construction and Real Estate Skill Development,"Youth, 18-30 years",Construction and real estate training,https://www.realestateskill.in,SDG9,"Civil Engineer,Carpenter,Mason,Electrician,Plumber,Painter"
Logistics and Warehousing Skill Development,"Youth, 18-30 years",Logistics and warehousing training,https://www.logisticsskill.in,SDG9,"Driver,Transport Manager,Warehouse Manager,Logistics Coordinator"
Retail and E-commerce Skill Development,"Youth, 18-30 years",Retail and e-commerce training,https://www.retailskill.in,SDG9,"Sales Executive,Customer Support,E-commerce Manager,Retail Store Manager"
BFSI Skill Development (Banking, Financial Services, Insurance),"Youth, 18-30 years",Banking and financial services training,https://www.bfsiskill.in,SDG9,"Banking Officer,Insurance Agent,Financial Advisor,Accountant"
Food Processing Skill Development,"Youth, 18-30 years",Food processing training,https://www.foodprocessingskill.in,SDG9,"Food Processing Technician,Quality Control,Production Manager"
Security Skill Development Programme,"Youth, 18-30 years",Security training,https://www.securityskill.in,SDG16,"Security Guard,Fire Fighter,Police Officer,Defense Personnel"
Sports and Fitness Skill Development,"Youth, 18-30 years",Sports and fitness training,https://www.sportsskill.in,SDG3,"Sports Coach,Fitness Trainer,Yoga Instructor,Nutritionist,Physical Education Teacher"
